NTN,NAME,S.T.Reg. No,Address,Customer_Receipt_NO,Customer_NTN,Customer_NAME,Customer_S.T.Reg. No,Customer_Phone Number,Customer_Address,Business Name,Product 1,Product 2,Product 3,Product 4,Date,Quantity_Product_1,Quantity_Product_2,Quantity_Product_3,Quantity_Product_4,Rate_Product_1,Rate_Product_2,Rate_Product_3,Rate_Product_4,Tax_Product_1,Tax_Product_2,Tax_Product_3,Tax_Product_4,Product_1_Price_with_Tax,Product_2_Price_with_Tax,Product_3_Price_with_Tax,Product_4_Price_with_Tax,Amount Excluding Taxes_Product_1,Sales Tax @ 18%_Product_1,Amount Including Taxes_Product_1,Amount Excluding Taxes_Product_2,Sales Tax @ 18%_Product_2,Amount Including Taxes_Product_2,Amount Excluding Taxes_Product_3,Sales Tax @ 18%_Product_3,Amount Including Taxes_Product_3,Amount Excluding Taxes_Product_4,Sales Tax @ 18%_Product_4,Amount Including Taxes_Product_4,Total Amount Excluding Taxes,Total Sales Tax @ 18%,Total Amount Including Taxes
3.65029E+12,MUHAMMAD BEHZAD ARSHAD,10000-10046-8761-413-23,040-Tando Allah Main,1122916,0000092-2,ABDUL MANAN,32-77-8761-413-23,685874327,145-C Sattelite Town,1 CARAT FASHION,Glitter Threads,Silk Stitches,Sparkle Threads,Beaded Silks,12-05-2020,25,48,33,93,76,90,62,53,0.06924064,0.159265643,0.161318991,0.083234195,81,104,72,57,1900,342,2242,4320,777.6,5097.6,2046,368.28,2414.28,4929,887.22,5816.22,13195,2375.1,15570.1
3.7405E+12,MISS FARHAT MALIK,10000-10046-8761-413-23,118. Gulshan-E-Iqbal,1181647,0000094-9,MUNAWAR SULTANA,33-77-8761-413-23,744080328,Wala Colony House 34,1 DOLLAR 2 DOLLAR,Budget Binders,Affordably Printed,Quick Copies Plus,Value Stapled,24-02-2018,57,15,71,55,92,96,32,34,0.123329156,0.099803519,0.117362778,0.070858121,103,106,36,36,5244,943.92,6187.92,1440,259.2,1699.2,2272,408.96,2680.96,1870,336.6,2206.6,10826,1948.68,12774.68
3.73012E+12,MIRZA SHAHBAZ BAIG,10000-10046-8761-413-23,131-West Wood Colony,1196218,0000098-1,EHSAN SHAFQAT,34-77-8761-413-23,912263285,Apt-906 Rehman Tower,"1 DOLLAR 2 DOLLAR,Ali Traders",Affordably Bright,Value Binds,Pixel Prints,Budget Bind & Print,04-05-2022,93,11,46,36,49,63,74,64,0.161559422,0.171645667,0.061917799,0.160254077,57,74,79,74,4557,820.26,5377.26,693,124.74,817.74,3404,612.72,4016.72,2304,414.72,2718.72,10958,1972.44,12930.44
3.65029E+12,MUHAMMAD BILAL ARSHAD,10000-10046-8761-413-23,145-C Sattelite Town,908244,0000131-7,MUHAMMAD ANEES QURESHI,35-77-8761-413-23,3003232696,37-C P. O Box. 20021,1 DOLLAR SHOP,Quick Fix,Value Pack,Budget Staples,Dollar Deals,12-01-2021,2,53,54,33,34,23,59,88,0.167991777,0.161236492,0.130561797,0.089057915,40,27,67,96,68,12.24,80.24,1219,219.42,1438.42,3186,573.48,3759.48,2904,522.72,3426.72,7377,1327.86,8704.86
3.65017E+12,BABAR HABIB NOON,10000-77-18730-413-23,14-Km Ferozpure Road,902983,0000146-5,MUHAMMAD AJMAL,36-77-8761-413-23,3005352693,205 Muhammadia Plaza,1 Dollar Shoping Mall,DealsWrap,BudgetBox,PennyPicks,QuickDealsHub,16-08-2023,79,51,47,61,78,81,97,94,0.050586297,0.098878322,0.192663155,0.178825528,82,89,116,111,6162,1109.16,7271.16,4131,743.58,4874.58,4559,820.62,5379.62,5734,1032.12,6766.12,20586,3705.48,24291.48
4.22016E+12,RUBINA SABIR,10000-77-18730-413-23,205 Muhammadia Plaza,1140900,0000148-1,SHUKRAN AHMAD,37-77-8761-413-23,3005425095,C-231 Block-3 Kaechs,1 HAMMAD JAWAD PHOTO STATE 2 THE ARTSY HOME,Artistic Frames,Poetic Prints,Curated Collections,Visionary Frames,30-10-2019,61,34,6,89,20,91,79,65,0.139844286,0.107725141,0.169187238,0.074781008,23,101,92,70,1220,219.6,1439.6,3094,556.92,3650.92,474,85.32,559.32,5785,1041.3,6826.3,10573,1903.14,12476.14
4.2202E+12,ABDUL MUEED,10000-77-18730-413-23,26-B 4th East Street,821859,0000153-8,BILAL HAMZA,38-77-8761-413-23,3006507842,Opp. Kot Kashmi (Al),1 LINK DEVELOPERS,Quantum Sync Hub,LinkCraft Design Suite,SyncWave Solutions,Pixel Connect Pro,11-08-2021,49,33,12,21,39,56,37,72,0.128234936,0.053358248,0.105425764,0.058219315,44,59,41,76,1911,343.98,2254.98,1848,332.64,2180.64,444,79.92,523.92,1512,272.16,1784.16,5715,1028.7,6743.7
4.22011E+12,SAFYAN AHMED BHUTTO,10000-77-18730-413-23,37-C P. O Box. 20021,807537,0000154-6,SAMEERA YASMEEN,39-77-8761-413-23,3006702232,H-3/3 Sector-5 75400,1 POINT SOLUTIONS,Pixel Fix,CoreTech Patch,EdgeGuard Shield,FocusFix Pro,09-08-2022,100,1,62,68,26,46,22,76,0.106180783,0.064849883,0.171620814,0.146241405,29,49,26,87,2600,468,3068,46,8.28,54.28,1364,245.52,1609.52,5168,930.24,6098.24,9178,1652.04,10830.04
4.2301E+12,USMAN,10000-77-8761-10382-23,46-E/3 P. E. C. H. S,926305,0000159-7,MUHAMMAD ZESHAN SAFDAR,40-77-8761-413-23,3006703728,14-Km Ferozpure Road,1 PRIDE PRINTERS,Pride Inkwells,BoldPrint Solutions,SecurePrints Hub,PrintPro Perfects,09-02-2022,99,87,11,46,28,48,23,32,0.193316262,0.071962928,0.054675597,0.061983001,33,51,24,34,2772,498.96,3270.96,4176,751.68,4927.68,253,45.54,298.54,1472,264.96,1736.96,8673,1561.14,10234.14
4.22016E+12,SAIRA KHAN,10000-77-8761-10382-23,712 I. S. E Tower 55,1021091,0000164-3,TOUQEER NISAR,41-77-8761-413-23,3007132850,I. I Chundrigar Road,"1 Sajid Iqbal Center,2 Ranjha Dairy Farm",MilkHub Solutions,Creamy Connect,DairyVite Tech,FreshFlow Farms,27-05-2018,94,2,40,21,18,28,69,40,0.160418098,0.126888144,0.14257572,0.114616635,21,32,79,45,1692,304.56,1996.56,56,10.08,66.08,2760,496.8,3256.8,840,151.2,991.2,5348,962.64,6310.64
